,cipher_entropy,chi2,chi_p,serial_corr,runs_p
count,20000.0,20000.0,20000.0,20000.0,20000.0
mean,6.536897612498443,406.88905666845034,0.038182693046360086,-0.008721999709031468,0.4384293392376243
std,0.4356572978556524,95.75229853125377,0.12507448957712086,0.08241671837822986,0.3030250439985897
min,4.980388542207534,212.44444444444443,1.4507252927458532e-62,-0.5384606842098111,1.0979017694978666e-10
25%,6.322515831240596,329.57575757575756,2.0422105222190295e-15,-0.05896934597408439,0.15979616774507188
50%,6.677798970294785,400.19047619047615,1.601656950209665e-08,-0.007978682144993022,0.41544633669406417
75%,6.864357197341733,474.6666666666667,0.0011253791007420802,0.04193614248099095,0.6995395427914266
max,7.203986852821245,833.4358974358975,0.9756277536559427,0.3805592517408505,1.0
