,enc_time_s,dec_time_s
count,20000.0,20000.0
mean,0.16511235716499942,0.22489450236997363
std,0.019708349002397187,5.046063923305147
min,0.13196160001098178,0.12774490000447258
25%,0.1557727750041522,0.15624405001290143
50%,0.16193255000689533,0.16234194999560714
75%,0.17125977500109002,0.17131722499470925
max,0.5990547999972478,551.3578374999925
