,0
count,1000.0
mean,4.966919991420582e-05
std,0.001157936461473521
min,1.1299998732283711e-05
25%,1.2500007869675756e-05
50%,1.270000939257443e-05
75%,1.2899981811642647e-05
max,0.03662999998778105
